P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
Hcyd.zel.col	Htim.the.per	Hmel.ama.per	0.494464	93.9235	2.3e-16	0.46612	351214	462939	156599
Hmel.mel.gui	Hmel.mal.col	Hcyd.zel.col	0.0216648	3.21888	0.00128694	0.0124241	532687	184998	177152
Hmel.mal.col	Hmel.ros.pan	Hcyd.zel.col	0.33474	56.3182	2.3e-16	0.275317	387125	362592	180723
Hmel.mal.col	Hmel.vul.col	Hcyd.zel.col	0.346183	59.1983	2.3e-16	0.287471	389474	373868	181581
Hcyd.zel.col	Htim.flo.per	Hmel.mal.col	0.434311	90.9344	2.3e-16	0.415357	360570	423286	166943
Hcyd.zel.col	Htim.the.per	Hmel.mal.col	0.454728	86.894	2.3e-16	0.448351	346916	447810	167852
Hmel.mel.gui	Hmel.ros.pan	Hcyd.zel.col	0.365105	72.3146	2.3e-16	0.282367	388288	333185	154960
Hmel.mel.gui	Hmel.vul.col	Hcyd.zel.col	0.376316	76.4791	2.3e-16	0.294747	387934	342981	155423
Hcyd.zel.col	Htim.flo.per	Hmel.mel.gui	0.36477	68.8654	2.3e-16	0.229834	355975	353302	164444
Hcyd.zel.col	Htim.the.per	Hmel.mel.gui	0.393067	70.9	2.3e-16	0.257033	342401	377466	164455
Hmel.ros.pan	Hmel.vul.col	Hcyd.zel.col	0.0202861	5.64497	1.65206e-08	0.0179177	537229	219344	210622
Htim.flo.per	Hcyd.zel.col	Hmel.ros.pan	0.026709	4.50454	6.65181e-06	0.0307106	313334	298458	282930
Htim.the.per	Hcyd.zel.col	Hmel.ros.pan	0.0279647	4.43232	9.32231e-06	0.0327692	306514	308100	291337
Htim.flo.per	Hcyd.zel.col	Hmel.vul.col	0.0342811	5.89448	3.75865e-09	0.0356721	312914	305788	285518
Htim.the.per	Hcyd.zel.col	Hmel.vul.col	0.033426	5.41321	6.19043e-08	0.0355502	305815	315456	295049
Htim.the.per	Htim.flo.per	Hcyd.zel.col	0.0426411	9.91299	2.3e-16	0.033181	556626	191407	175751
Hmel.mal.col	Hmel.ama.per	Hmel.mel.gui	0.0651408	25.6509	2.3e-16	0.0614841	317156	239572	210269
Hmel.ama.per	Hmel.mal.col	Hmel.ros.pan	0.0394877	17.4534	2.3e-16	0.0319961	487165	209766	193828
Hmel.ama.per	Hmel.mal.col	Hmel.vul.col	0.0391785	17.8726	2.3e-16	0.0282276	494364	212094	196102
Hmel.ama.per	Hmel.mal.col	Htim.flo.per	0.0136431	4.09617	4.20039e-05	0.0112349	443572	224324	218286
Hmel.mal.col	Hmel.ama.per	Htim.the.per	0.0234801	6.38621	1.70046e-10	0.020127	425211	234939	224160
Hmel.ros.pan	Hmel.ama.per	Hmel.mel.gui	0.241611	34.3228	2.3e-16	0.251497	191414	386927	236339
Hmel.vul.col	Hmel.ama.per	Hmel.mel.gui	0.246127	36.3234	2.3e-16	0.255373	192964	391590	236902
Hmel.mel.gui	Hmel.ama.per	Htim.flo.per	0.121293	25.4631	2.3e-16	0.0958853	384052	247753	194153
Hmel.mel.gui	Hmel.ama.per	Htim.the.per	0.145556	27.8419	2.3e-16	0.119653	366577	264289	197128
Hmel.vul.col	Hmel.ros.pan	Hmel.ama.per	0.00301982	1.41858	0.156022	0.00264033	524949	204502	203271
Hmel.ros.pan	Hmel.ama.per	Htim.flo.per	0.139017	18.1932	2.3e-16	0.136202	286241	347671	262804
Hmel.ros.pan	Hmel.ama.per	Htim.the.per	0.198266	23.8655	2.3e-16	0.191951	276536	377317	252455
Hmel.vul.col	Hmel.ama.per	Htim.flo.per	0.134115	17.3317	2.3e-16	0.132352	287344	350936	267936
Hmel.vul.col	Hmel.ama.per	Htim.the.per	0.191434	22.7536	2.3e-16	0.18745	277878	381223	258717
Htim.flo.per	Htim.the.per	Hmel.ama.per	0.0811779	16.3337	2.3e-16	0.0943361	513007	240187	204119
Hmel.ros.pan	Hmel.mal.col	Hmel.mel.gui	0.200264	29.5436	2.3e-16	0.201579	210412	361543	240896
Hmel.vul.col	Hmel.mal.col	Hmel.mel.gui	0.205038	31.3977	2.3e-16	0.205708	211968	366036	241473
Hmel.mel.gui	Hmel.mal.col	Htim.flo.per	0.128071	26.2313	2.3e-16	0.10659	362290	261453	202087
Hmel.mel.gui	Hmel.mal.col	Htim.the.per	0.120087	22.5024	2.3e-16	0.102404	349647	267151	209867
Hmel.vul.col	Hmel.ros.pan	Hmel.mal.col	0.00356473	1.70307	0.0885545	0.00341923	511019	208118	206640
Hmel.ros.pan	Hmel.mal.col	Htim.flo.per	0.151164	20.8252	2.3e-16	0.146724	294952	347284	256078
Hmel.ros.pan	Hmel.mal.col	Htim.the.per	0.185479	23.7681	2.3e-16	0.17557	290221	363985	250088
Hmel.vul.col	Hmel.mal.col	Htim.flo.per	0.146032	19.8091	2.3e-16	0.142798	296183	350569	261227
Hmel.vul.col	Hmel.mal.col	Htim.the.per	0.178289	22.658	2.3e-16	0.17071	291537	367644	256386
Htim.flo.per	Htim.the.per	Hmel.mal.col	0.044138	10.8348	2.3e-16	0.0541865	512592	230520	211031
Hmel.vul.col	Hmel.ros.pan	Hmel.mel.gui	0.00725266	3.34967	0.000809081	0.00469457	453336	200154	197272
Hmel.ros.pan	Hmel.mel.gui	Htim.flo.per	0.0480974	6.10579	1.02293e-09	0.0425007	314302	272268	247280
Hmel.ros.pan	Hmel.mel.gui	Htim.the.per	0.0904212	10.4566	2.3e-16	0.0781387	308927	288973	241048
Hmel.vul.col	Hmel.mel.gui	Htim.flo.per	0.0427411	5.3199	1.03823e-07	0.0381655	313694	274253	251770
Hmel.vul.col	Hmel.mel.gui	Htim.the.per	0.0833909	9.44362	2.3e-16	0.0730192	308383	291094	246282
Htim.flo.per	Htim.the.per	Hmel.mel.gui	0.0548511	14.3686	2.3e-16	0.0334081	529630	204023	182805
Hmel.ros.pan	Hmel.vul.col	Htim.flo.per	0.0077409	3.3283	0.000873786	0.00488724	537674	202859	199743
Hmel.ros.pan	Hmel.vul.col	Htim.the.per	0.0104981	4.5954	4.3191e-06	0.00640132	543064	204976	200717
Htim.the.per	Htim.flo.per	Hmel.ros.pan	0.00224368	0.865395	0.386822	0.00164963	585930	189176	188329
Htim.flo.per	Htim.the.per	Hmel.vul.col	0.000159592	0.0606544	0.951634	0.000105949	588950	191143	191082
